,논문제목,초록
0,A.Hu_et_al_2018_J_of_Mech_and_Phys_of_Solids_Computational analysis of particle reinforced viscoelastic polymer," The concept of representative volume element (RVE) is widely used to determine the effec- tive material properties of random heterogeneous materials. In the present work, the RVE is investigated for the viscoelastic response of particle-reinforced polymer nanocomposites in the frequency domain. The smallest RVE size and the minimum number of realizations at a given volume size for both structural and mechanical properties are determined for a given precision using the concept of margin of error. It is concluded that using the mean of many realizations of a small RVE instead of a single large RVE can retain the desired precision of a result with much lower computational cost (up to three orders of magni- tude reduced computation time) for the property of interest. Both the smallest RVE size and the minimum number of realizations for a microstructure with higher volume frac- tion ( VF ) are larger compared to those of one with lower VF at the same desired precision. Similarly, a clustered structure is shown to require a larger minimum RVE size as well as a larger number of realizations at a given volume size compared to the well-dispersed microstructures. © 2018 Elsevier Ltd. All rights reserved.        "
1,Conf_Paper_IFAC_2020_X.Yin_et_al_A Novel Strategy for High-Performance Vehicle Lateral Motion Control,": This paper presents a new design strategy for vehicle lateral motion control. In particular, the controller design problem for vehicle path following is considered. A new kind of full error-state dynamic equation incorporating more significant error states is introduced, which describes vehicle lateral dynamics with respect to the desired path, even without the curvature of the desired path acting as disturbance at the input. Thus, the feedback and the feedforward controller can be designed straightforwardly. A novel solution is provided to extract the desired feedforward steering command and the desired reference states from the varying curvature of the desired path. Simulation results demonstrate the efficiency,  high performance and robustness of the developed control strategy. Keywords: Automotive Control, Intelligent Autonomous Vehicles, Control Design, Path Following and Trajectory Tracking, Vehicle Motion Control, Tracking Control.  1. INTRODUCTION Lateral vehicle motion control is an essential part for automated driving such as Highway Cruising Chauffeur, Lane Keeping Assist, Lane Change Assist and Emergency Steering Assist. For decades, researchers have been engaged in developing lateral controllers and many control schemes have been investigated. Nowadays, car makers and suppliers are developing lateral controllers for driver assistance, highly and fully automated driving systems under more realistic conditions considering sensor noise, actuator dynamics, road conditions, robustness, safety constraints and the complexity of the algorithm to embed the control algorithm into cost efficient ECUs (Electro Control Unit). Many model-based design methods have been approached for vehicle lateral motion control (Kapania et al. 2015, Ni et al. 2016, Tange et al. 2016, Schmeitz et al. 2017). Most of the mod"
2,D.Christ_2020_J_of_Safety_Res_Simulating the relative influence of tire_vehicle and driver factors on forward collision accident,"Introduction: There is currently a strong focus within the automotive industry centered on traffic safety,with topics such as distracted driving, accident avoidance technologies, and autonomous vehicles. Thesepapers tend to focus on the possible improvements from a single factor. However, there are many factorsthat are present in each accident, and it is important to understand the influence of each factor on therelative accident risk in order to identify the most effective approaches for improving driver safety.Rear-end accidents tend to be the most common accident type with approximately 1.8 M cases, or 31%of all accidents, in 2012, according to NHTSA. Of the rear-end accident scenarios, approximately 18–23% occur on wet surfaces. Method: A Monte Carlo Forward Collision Simulation models the conditionsof a wet rear-end accident and estimates the relative impact of various vehicle collision parameters.The model takes distributions of these parameters as inputs, and outputs a risk of collision relative toa known reference case. The parameters that can be studied include: tire grip level, road grip level, vehi-cle velocity, following distances, and the presence of vehicle technologies (ABS, FCW & AEB). Distributionsof some of these parameters have been improved thanks to Naturalistic Driving Study data from SHRP2.Results: This study shows that these vehicle systems have a large impact on safety and can change theamount of influence attributed to other parameters such as tire grip levels. As the use of automated vehi-cle systems expands, so will the influence of tire grip performance levels on collision risks. PracticalApplications: It is more important than ever for consumers and auto manufacturers to consider tire per-formance levels. Therefore, the tire industry should continue to focus on wet grip as a key performancerelated to safety and should strive to continue to improve tire performance."
3,D.D.Gregoriis_et_al_2019_J_of_Sound_and_Vibration_Development and validation of a fully predictive high-fidelity simulation,"In this work, a fully predictive high-fidelity numerical approach for the simulation of a cartire rolling with a constant angular velocity over a coarse road surface is presented. A fullynonlinear vibro-acoustic finite element tire model is combined with an Arbitrary LagrangianEulerian formulation to describe both the rolling dynamics as well as the interaction betweenthe tire and coarse road surface. A geometrical constraint approach is used to describethe tire/road interaction rather than a constitutive approach in order to keep the proposedmethod fully predictive, i.e. to not rely on measurement data. As both the use of a nonlinearfinite element tire model, as well as the use of the geometrical constraint approach result inlarge computational costs and simulation times, the nonlinear Multi-Expansion Modal Reduc-tion hyper-reduction method is applied. Numerical costs and corresponding simulation timesare reduced by a factor of order of magnitude 100 (from several months to hours), there-fore making the proposed approach feasible to use in an industrial design and developmentprocess. Two alternative linearized approaches, based on the proposed nonlinear approach,are considered as well. While the proposed nonlinear approach shows a good, consistentqualitative and quantitative correspondence between experimental and numerical simulationresults for the entire 0–400 Hz frequency range of interest, with normalized Power SpectralDensity differences between 0.1 and 0.2 dB (ref. 1 N/Hz), the linearized approaches are lim-ited to lower frequency ranges of 0–85 Hz and 0–200 Hz and are therefore not suitable for theintended application. The overall performance of the proposed nonlinear approach confirmsits use as a possible alternative to standard time-consuming experimental approaches.© 2019 Elsevier Ltd. All rights reserved."
4,J.Blondel_et_al_2020_Int_J_of_Solids_and_Struct_Analytical modelling of the effect of morphological fluctuations,This paper proposes to take into account the influence of some morphological fluctuations – oftenobserved in unidirectional composite materials – on the modelling of the elastic behaviour of such mate-rials. This work relies on a Generalized Self-Consistent Scheme coupled with a MorphologicallyRepresentative Pattern based approach. An analytical model is proposed to deal with ‘‘non-percolated”or trapped matrix regions. Closed-form analytical expressions are provided to investigate different kindsof morphological fluctuation effects on the effective transverse elastic behaviour. Finally some examplesare given to illustrate the effectiveness of this approach.� 2020 Elsevier Ltd. All rights reserved.
5,J.Gao_et_al_2019_Comp_Met_Appl_Mech_Eng_An inverse modeling approach for predicting filled rubber performance,"In this paper, a computational procedure combining experimental data and interphase inverse modeling is presented to predictfilled rubber compound properties. The Fast Fourier Transformation (FFT) based numerical homogenization scheme is appliedon the high quality filled rubber 3D Transmission Electron Microscope (TEM) image to compute its complex shear moduli.The 3D TEM filled rubber image is then compressed into a material microstructure database using a novel Reduced OrderModeling (ROM) technique, namely Self-consistent Clustering Analysis (a two-stage offline database creation from trainingand learning, followed by data compression via unsupervised learning, and online prediction approach), for improved efficiencyand accuracy. An inverse modeling approach is formulated for quantitatively computing interphase complex shear moduli inorder to understand the interphase behaviors. The two-stage SCA and the inverse modeling approach formulate a three-stepprediction scheme for studying filled rubber, whose loss tangent curve can be computed in agreement with test data.c⃝ 2019 Elsevier B.V. All rights reserved.Keywords: Nano-composites; Interphase; Database for self-consistent clustering analysis (SCA); Two stage offline–online reduced order modeling"
6,J.OAlmiron_et_al_2022_J_of_Sound_and_Vibration_Vehicle road noise prediction using component-based transfer path analysis,"   The current trends in the automotive industry toward electric vehicles are creating increasing interest on methods to quantify and predict the noise, vibration and harshness (NVH) behavior caused by road noise, as well as secondary noise sources. In this regard, component-based TPA (Transfer Path Analysis) has been recently explored. It is a powerful methodology allowing for a virtual prototype vehicle NVH prediction starting from independent sources and component models. The aim of this paper is to analyze the potential of the component-based TPA in the context of road noise. This methodology, on one hand, allows the tire manufacturers to charac-terize their tires on a tire test-rig independently of any vehicle and, on the other hand, enables the automotive OEMs to perform the prediction of the full system vehicle behavior starting from the test-rig measurements. However, some challenges are still hindering the application of the methodology in this context. In this regard, all the component-based TPA methodology steps are investigated in this work. A slick tire, selected for this analysis, is characterized on a test-rig by a set of blocked forces, which only depend on the source. The uncoupled tire and vehicle are experimentally characterized through the measurement of their frequency-response functions (FRFs) under a static load condition. Frequency Based Substructuring (FBS) is applied to these substructures in order to synthesize the coupled vehicle FRFs. Both rear tires are coupled to the vehicle using this approach. Finally, the vehicle road noise is predicted by propagating one of the tires’ blocked forces through the synthesized full vehicle FRFs in a modular approach. The method is validated by comparison with direct vehicle measurements. Transferability of blocked forces is also assessed by direct comparison between blocked forces estimated on vehicle and test- rig. Importantly, the rolling effect is identified and considered in a direct propagation process, analyzing its implications in the vehicle noise prediction. This paper also intends to serve as a guideline to industrialize the experimental and processing steps.  * Corresponding author. E-mail address: jesus.ortega@siemens.com (J. Ortega Almirón).  Contents lists available at ScienceDirect Journal of Sound and Vibration journal homepage: www.elsevier.com/locate/jsvi https://doi.org/10.1016/j.jsv.2021.116694 Received 20 May 2021; Received in revised form 8 December 2021; Accepted 11 December 2021   mailto:jesus.ortega@siemens.comwww.sciencedirect.com/science/journal/0022460Xhttps://www.elsevier.com/locate/jsvihttps://doi.org/10.1016/j.jsv.2021.116694https://doi.org/10.1016/j.jsv.2021.116694http://crossmark.crossref.org/dialog/?doi=10.1016/j.jsv.2021.116694&domain=pdfhttps://doi.org/10.1016/j.jsv.2021.116694Journal of Sound and Vibration 523 (2022) 1166942"
7,K.Rishi_et_al_2019_Polymer_A thermal model to describe kinetic dispersion in rubber,"Nanocomposites can be produced by a variety of processes. A common method used in industry is to mix aviscous polymer such as an elastomer compound, with nanofillers in a Brabender mixer or in a calendar.Dispersion has been quantified using a mixing index, DR, that is based on micrographs of reinforced elastomerson the micron-scale. A recently developed technique based on X-ray scattering allows for an alternative nano-scale description of dispersion based on a thermal-dispersion model where an analogy is made between tem-perature for thermal dispersion and nanocomposite processing conditions such as mixing time, mixing geometry,and viscosity for kinetic dispersion. In this paper the impact of mixing time on dispersion is investigated takingadvantage of the van der Waals equation to describe excluded volume and interaction energy in the dispersion. Itis found that the thermal-dispersion analogy is well behaved and can determine the wetting time for nano-scaleincorporation of filler into elastomer. The nano-scale excluded volume depends only on the filler type and theexcess excluded volume seems to be sensitive to the bound rubber layer. The pseudo-interaction energy isstrongly dependent on viscosity and polymer chemistry. The thermal-dispersion model offers a novel approachto understanding kinetic dispersion in nanocomposites."
8,M.Elshikka_et_al_2020_Agri_Water_Man_Estimation of direct-seeded guayule cover using UAS-based multispectral and RGB data,"   Guayule (Parthenium argentatum, A. Gray), a perennial desert shrub, produces high-quality natural rubber and is targeted as a domestic natural rubber source in the U.S. While commercialization efforts for guayule are on- going, crop management requires plant growth monitoring, irrigation requirement assessment, and final yield estimation. Such assistance for guayule management could be provided with remote sensing (RS) data. In this study, field and RS data, collected via drones, from a 2-year guayule irrigation experiment conducted at Mar-icopa, Arizona were evaluated. In-season field measurements included fractional canopy cover (fc), basal (Kcb) and single (Kc) crop coefficients, and final yields of dry biomass (DB), rubber (RY), and resin (ReY). The ob-jectives of this paper were to compare vegetations indices from MS data (NDVI) and RGB data (triangular greenness index, TGI); and derive linear prediction models for estimating fc, Kcb, Kc, and yield as functions of the MS and RGB indices. The NDVI and TGI showed similar seasonal trends and were correlated at a coefficient of determination (r2) of 0.52 and a root mean square error (RMSE) of 0.11. The prediction of measured fc as a linear function of NDVI (r2 = 0.90) was better than by TGI (r2 = 0.50). In contrast to TGI, the measured fc was highly correlated with estimated fc based on RGB image evaluation (r2 = 0.96). Linear models of Kcb and Kc, developed over the two years of guayule growth, had similar r2 values vs NDVI (r2 = 0.46 and 0.41, respectively) and vs TGI (r2 = 0.48 and 0.40, respectively). Final DB, RY, and ReY were predicted by both NDVI (r2 = 0.75, 0.53, and 0.70, respectively) and TGI (r2 = 0.72, 0.48, and 0.65, respectively). The RS-based models enable estimation of irrigation requirements and yields in guayule production fields in the U.S.   "
9,M.Rehor_et_al_2020_J_of_Non_Newton_Fluid_Mech_A comparison of constitutive models for describing the flow of uncured styrene,"Uncured styrene-butadiene rubber (SBR) can be modelled as a viscoelastic material with at least two differentrelaxation mechanisms. In this paper we compare multi-mode constitutive models combining two viscoelasticmodes (linear and/or nonlinear) in three possible ways. Our particular choice of the two modes was inspired bymodels originally developed to describe the response of asphalt binders. We select the model that best fits theexperimental data obtained from a modified stress relaxation experiment in the torsional configuration of theplate–plate rheometer. The optimisation of the five model parameters for each model is achieved by minimisingthe weighted least-squares distance between experimental observations and the computer model output usinga tree-structured Parzen estimator algorithm to find an initial guess, followed by further optimisation usingthe Nelder–Mead simplex algorithm. The results show that the model combining the linear mode and thenonlinear mode is the most suitable variant to describe the observed behaviour of SBR in the given regime.The predictive capabilities of the three models are further examined in changed experimental and numericalconfigurations. Full data and code to produce the figures in this article are included as supplementary material."
